track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
009ImBOrIUlWgla8U05RAC,0.00273,0.432,0.725,0.0,0.208,-4.862,0.0431,0.353
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01Q3OyB05mLgH01fpdAMPP,0.198,0.426,0.228,0.13,0.0832,-10.552,0.0322,0.0822
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
02H1K5Cw9Ar89b35XwSEw6,0.441,0.67,0.413,8.63e-05,0.0902,-8.117,0.0273,0.145
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01hXvfqi2J9GDOgo2DElxk,0.3,0.437,0.397,0.000289,0.108,-5.986,0.0284,0.181
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
015fd1R17Z7S1FeU5H2V3I,0.0377,0.544,0.727,0.0,0.122,-6.522,0.0903,0.359
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0884,0.467
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
01BMA2zYOX51Vz7QHdSAgO,0.19,0.666,0.407,0.0,0.0937,-7.942,0.0435,0.566
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
001VVcybqoFwkm1jbvxL4j,0.064,0.383,0.792,0.0,0.13,-4.035,0.108,0.382
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
